,zipconvert2,zipconvert3,zipconvert4,zipconvert5,homeowner,num_child,income,female,wealth,home_value,med_fam_inc,avg_fam_inc,pct_lt15k,num_prom,lifetime_gifts,largest_gift,last_gift,months_since_donate,time_lag,avg_gift,target,type
0,Yes,No,No,No,Yes,1,3,No,1,413,279,304,24,38,48.0,6.0,4.0,29,3,4.8,No Donor,train
1,No,No,No,Yes,Yes,1,2,Yes,1,741,253,262,22,87,377.57,18.0,14.0,28,2,9.936052632,No Donor,train
2,No,No,No,Yes,Yes,1,3,Yes,8,966,410,482,6,22,44.0,11.0,11.0,28,7,7.333333333,No Donor,train
3,Yes,No,No,No,Yes,1,3,Yes,8,610,310,359,17,64,105.0,15.0,10.0,30,6,8.076923077,No Donor,train
4,Yes,No,No,No,Yes,1,4,Yes,8,911,480,528,7,29,60.0,20.0,10.0,32,8,15.0,No Donor,train
5,Yes,No,No,No,Yes,2,7,Yes,4,583,284,326,21,50,94.0,15.0,15.0,30,12,7.833333333,Donor,train
6,No,Yes,No,No,Yes,1,4,Yes,2,502,260,302,24,48,133.0,13.0,13.0,31,9,11.08333333,Donor,train
7,Yes,No,No,No,No,1,6,Yes,9,1314,548,578,6,40,104.0,20.0,18.0,29,4,14.85714286,No Donor,train
8,Yes,No,No,No,Yes,2,4,No,8,418,220,244,31,24,40.0,10.0,10.0,31,8,10.0,Donor,train
9,No,No,No,Yes,Yes,2,4,No,8,1011,426,537,0,39,46.0,20.0,16.0,36,29,15.33333333,No Donor,dev
10,No,No,No,Yes,Yes,1,5,No,8,1501,373,447,9,25,42.0,12.0,12.0,34,2,10.5,Donor,dev
11,No,No,No,Yes,Yes,1,4,Yes,7,4216,602,674,2,48,126.0,17.0,15.0,32,8,12.6,No Donor,train
12,No,Yes,No,No,No,1,2,Yes,0,429,295,347,15,136,443.0,21.0,15.0,17,6,10.54761905,Donor,train
13,No,No,No,Yes,No,1,1,Yes,8,1000,468,506,6,28,39.0,10.0,5.0,29,3,6.5,No Donor,train
14,No,No,No,Yes,Yes,1,6,Yes,8,2524,438,557,10,63,142.0,7.0,5.0,30,8,4.580645161,No Donor,train
