,zipconvert2,zipconvert3,zipconvert4,zipconvert5,homeowner,num_child,income,female,wealth,home_value,med_fam_inc,avg_fam_inc,pct_lt15k,num_prom,lifetime_gifts,largest_gift,last_gift,months_since_donate,time_lag,avg_gift,target,type,interaction_wealth_income,income_to_home_ratio,wealth_to_home_ratio,gift_to_income_ratio,average_gift_size_to_largest_gift_ratio,total_gifts_to_number_of_promotions,homeowner_children,zip_gender,time_since_last_gift_bucket
0,Yes,No,No,No,Yes,1,3,No,1,413,279,304,24,38,48.0,6.0,4.0,29,3,4.8,No Donor,train,3,0.007263922518159807,0.002421307506053269,16.0,0.7999999999999999,1.263157894736842,Yes_1,Yes_No_No_No_No,24+
1,No,No,No,Yes,Yes,1,2,Yes,1,741,253,262,22,87,377.57,18.0,14.0,28,2,9.936052632,No Donor,train,2,0.002699055330634278,0.001349527665317139,188.785,0.5520029240000001,4.339885057471264,Yes_1,No_No_No_Yes_Yes,24+
2,No,No,No,Yes,Yes,1,3,Yes,8,966,410,482,6,22,44.0,11.0,11.0,28,7,7.333333333,No Donor,train,24,0.003105590062111801,0.008281573498964804,14.666666666666666,0.6666666666363636,2.0,Yes_1,No_No_No_Yes_Yes,24+
3,Yes,No,No,No,Yes,1,3,Yes,8,610,310,359,17,64,105.0,15.0,10.0,30,6,8.076923077,No Donor,train,24,0.004918032786885246,0.013114754098360656,35.0,0.5384615384666667,1.640625,Yes_1,Yes_No_No_No_Yes,24+
4,Yes,No,No,No,Yes,1,4,Yes,8,911,480,528,7,29,60.0,20.0,10.0,32,8,15.0,No Donor,train,32,0.0043907793633369925,0.008781558726673985,15.0,0.75,2.0689655172413794,Yes_1,Yes_No_No_No_Yes,24+
5,Yes,No,No,No,Yes,2,7,Yes,4,583,284,326,21,50,94.0,15.0,15.0,30,12,7.833333333,Donor,train,28,0.012006861063464836,0.00686106346483705,13.428571428571429,0.5222222222,1.88,Yes_2,Yes_No_No_No_Yes,24+
6,No,Yes,No,No,Yes,1,4,Yes,2,502,260,302,24,48,133.0,13.0,13.0,31,9,11.08333333,Donor,train,8,0.00796812749003984,0.00398406374501992,33.25,0.8525641023076923,2.7708333333333335,Yes_1,No_Yes_No_No_Yes,24+
7,Yes,No,No,No,No,1,6,Yes,9,1314,548,578,6,40,104.0,20.0,18.0,29,4,14.85714286,No Donor,train,54,0.0045662100456621,0.00684931506849315,17.333333333333332,0.7428571429999999,2.6,No_1,Yes_No_No_No_Yes,24+
8,Yes,No,No,No,Yes,2,4,No,8,418,220,244,31,24,40.0,10.0,10.0,31,8,10.0,Donor,train,32,0.009569377990430622,0.019138755980861243,10.0,1.0,1.6666666666666667,Yes_2,Yes_No_No_No_No,24+
9,No,No,No,Yes,Yes,2,4,No,8,1011,426,537,0,39,46.0,20.0,16.0,36,29,15.33333333,No Donor,dev,32,0.003956478733926805,0.00791295746785361,11.5,0.7666666665,1.1794871794871795,Yes_2,No_No_No_Yes_No,24+
10,No,No,No,Yes,Yes,1,5,No,8,1501,373,447,9,25,42.0,12.0,12.0,34,2,10.5,Donor,dev,40,0.0033311125916055963,0.005329780146568954,8.4,0.875,1.68,Yes_1,No_No_No_Yes_No,24+
11,No,No,No,Yes,Yes,1,4,Yes,7,4216,602,674,2,48,126.0,17.0,15.0,32,8,12.6,No Donor,train,28,0.0009487666034155598,0.0016603415559772296,31.5,0.7411764705882353,2.625,Yes_1,No_No_No_Yes_Yes,24+
12,No,Yes,No,No,No,1,2,Yes,0,429,295,347,15,136,443.0,21.0,15.0,17,6,10.54761905,Donor,train,0,0.004662004662004662,0.0,221.5,0.5022675738095238,3.2573529411764706,No_1,No_Yes_No_No_Yes,13-24
13,No,No,No,Yes,No,1,1,Yes,8,1000,468,506,6,28,39.0,10.0,5.0,29,3,6.5,No Donor,train,8,0.001,0.008,39.0,0.65,1.3928571428571428,No_1,No_No_No_Yes_Yes,24+
14,No,No,No,Yes,Yes,1,6,Yes,8,2524,438,557,10,63,142.0,7.0,5.0,30,8,4.580645161,No Donor,train,48,0.002377179080824089,0.003169572107765452,23.666666666666668,0.6543778801428571,2.253968253968254,Yes_1,No_No_No_Yes_Yes,24+
15,No,Yes,No,No,Yes,1,4,No,9,1044,522,612,2,68,290.0,50.0,50.0,37,10,36.25,No Donor,train,36,0.0038314176245210726,0.008620689655172414,72.5,0.725,4.264705882352941,Yes_1,No_Yes_No_No_No,24+
16,No,No,Yes,No,Yes,1,4,No,8,1033,542,628,3,41,66.0,8.0,4.0,31,10,6.0,No Donor,train,32,0.003872216844143272,0.007744433688286544,16.5,0.75,1.6097560975609757,Yes_1,No_No_Yes_No_No,24+
17,No,No,No,Yes,Yes,1,5,Yes,8,1573,409,487,11,38,35.0,10.0,5.0,29,4,5.833333333,Donor,dev,40,0.003178639542275906,0.0050858232676414495,7.0,0.5833333332999999,0.9210526315789473,Yes_1,No_No_No_Yes_Yes,24+
18,No,No,Yes,No,No,1,4,Yes,8,567,279,327,20,24,48.0,16.0,16.0,35,2,12.0,No Donor,train,32,0.007054673721340388,0.014109347442680775,12.0,0.75,2.0,No_1,No_No_Yes_No_Yes,24+
19,No,No,Yes,No,No,1,1,No,6,315,176,253,38,60,137.0,8.0,7.0,36,4,5.956521739,Donor,train,6,0.0031746031746031746,0.01904761904761905,137.0,0.744565217375,2.283333333333333,No_1,No_No_Yes_No_No,24+
20,No,No,No,Yes,Yes,1,4,Yes,7,1245,452,457,7,35,55.0,15.0,15.0,32,24,13.75,No Donor,train,28,0.00321285140562249,0.005622489959839358,13.75,0.9166666666666666,1.5714285714285714,Yes_1,No_No_No_Yes_Yes,24+
21,No,No,Yes,No,Yes,1,2,Yes,8,278,224,256,25,48,48.0,10.0,5.0,31,9,5.333333333,No Donor,train,16,0.007194244604316547,0.02877697841726619,24.0,0.5333333333,1.0,Yes_1,No_No_Yes_No_Yes,24+
22,No,No,Yes,No,Yes,1,2,No,8,250,200,237,34,23,27.0,15.0,5.0,33,2,6.75,No Donor,train,16,0.008,0.032,13.5,0.45,1.173913043478261,Yes_1,No_No_Yes_No_No,24+
23,Yes,No,No,No,No,1,4,Yes,8,432,240,284,19,23,28.0,10.0,10.0,29,4,7.0,Donor,train,32,0.009259259259259259,0.018518518518518517,7.0,0.7,1.2173913043478262,No_1,Yes_No_No_No_Yes,24+
24,No,No,No,Yes,Yes,1,7,Yes,4,511,254,316,30,74,136.0,20.0,15.0,34,4,7.157894737,No Donor,dev,28,0.0136986301369863,0.007827788649706457,19.428571428571427,0.35789473685,1.837837837837838,Yes_1,No_No_No_Yes_Yes,24+
25,No,No,Yes,No,Yes,1,4,Yes,8,382,195,268,36,70,108.0,13.0,12.0,32,13,8.307692308,No Donor,train,32,0.010471204188481676,0.020942408376963352,27.0,0.6390532544615385,1.542857142857143,Yes_1,No_No_Yes_No_Yes,24+
26,Yes,No,No,No,Yes,1,2,Yes,1,592,223,254,29,47,47.0,5.0,5.0,31,7,3.357142857,Donor,train,2,0.0033783783783783786,0.0016891891891891893,23.5,0.6714285714,1.0,Yes_1,Yes_No_No_No_Yes,24+
27,Yes,No,No,No,Yes,2,4,Yes,8,518,401,396,7,23,40.0,20.0,20.0,31,4,13.33333333,No Donor,train,32,0.007722007722007722,0.015444015444015444,10.0,0.6666666665000001,1.7391304347826086,Yes_2,Yes_No_No_No_Yes,24+
28,No,Yes,No,No,Yes,1,2,No,4,371,356,344,13,62,118.0,14.0,13.0,29,13,9.833333333,No Donor,train,8,0.005390835579514825,0.01078167115902965,59.0,0.7023809523571429,1.903225806451613,Yes_1,No_Yes_No_No_No,24+
